"Country","a","b","n","index"
"AD",0.203649344449518,53.3842560935201,8,0.00552445969939784
"AE",1.20364934444952,230.38425609352,186,0.00353524960890572
"AT",0.203649344449518,1551.38425609352,1506,0.000187981093736426
"AU",0.203649344449518,91.3842560935201,46,0.00318398250231576
"BE",1.20364934444952,545.38425609352,501,0.00152306718717833
"BE*",1.38750895792095,1036.41238888637,928,0.000867168692833221
"BG*",15.387508957921,4773.41238888637,4679,0.00171179925439365
"CA",0.203649344449518,212.38425609352,167,0.00132640603249035
"CH",4.20364934444952,1660.38425609352,1619,0.00141557993866965
"CN",0.203649344449518,94.3842560935201,49,0.00306662569888253
"CU",0.203649344449518,50.3842560935201,5,0.00584839888362625
"CY",8.20364934444952,2300.38425609352,2263,0.00192206137130065
"CZ",4.20364934444952,4334.38425609352,4293,0.000524303512491375
"DE",29.2036493444495,9474.38425609352,9458,0.00162172823919318
"DK",4.20364934444952,1859.38425609352,1818,0.00126961246989499
"DO",0.203649344449518,60.3842560935201,15,0.00479755090224421
"DZ",0.203649344449518,269.38425609352,224,0.00108504718308237
"EE",0.203649344449518,192.38425609352,147,0.00149344919085627
"ES",2.20364934444952,188.38425609352,145,0.00705959402007541
"ES*",6.38750895792095,421.412388886369,318,0.00812958631668505
"FI",2.20364934444952,404.38425609352,361,0.00326978861383125
"FR",12.2036493444495,7541.38425609352,7508,0.000851658082031719
"FR_IDF",14.2036493444495,3546.38425609352,3515,0.00212424733335827
"FR_TA",6.20364934444952,162.38425609352,123,0.0202359201283225
"GB",21.2036493444495,7640.38425609352,7616,0.00146972558302672
"GE",1.20364934444952,474.38425609352,430,0.00174563390260017
"GR",8.20364934444952,2714.38425609352,2677,0.00163009558568118
"GY",0.203649344449518,56.3842560935201,11,0.00523452256620718
"HU",13.2036493444495,664.38425609352,632,0.0104088426156167
"ID",0.203649344449518,184.38425609352,139,0.00153255978504061
"IE",0.203649344449518,284.38425609352,239,0.000983596920251355
"IT",12.2036493444495,3548.38425609352,3515,0.00183334592243178
"JM",0.203649344449518,49.3842560935201,4,0.00589386776177234
"JP",0.203649344449518,59.3842560935201,14,0.00478400014825873
"KR",0.203649344449518,54.3842560935201,9,0.00542430993688378
"LB",1.20364934444952,136.38425609352,92,0.00597880555212317
"LT",10.2036493444495,216.38425609352,181,0.0242130950321517
"LU",11.2036493444495,425.38425609352,391,0.0137618075241709
"LV",0.203649344449518,135.38425609352,90,0.00208833389193905
"MA",0.203649344449518,69.3842560935201,24,0.00415771783127251
"MC",0.203649344449518,317.38425609352,272,0.000839789224414739
"ME",0.203649344449518,177.38425609352,132,0.00162992384368329
"MN",0.203649344449518,46.3842560935201,1,0.00634442470256964
"MT*",0.387508957920953,426.412388886369,317,0.000915288683494537
"NL*",10.387508957921,6537.41238888637,6438,0.000843093139917111
"NO",1.20364934444952,633.38425609352,589,0.00129086346545737
"NZ",0.203649344449518,51.3842560935201,6,0.00573627901248564
"PL",11.2036493444495,2656.38425609352,2622,0.00224997213698681
"PT",0.203649344449518,432.38425609352,387,0.00063445543653575
"RO*",0.387508957920953,1889.41238888637,1780,0.00021582491555373
"RW",0.203649344449518,47.3842560935201,2,0.00621269397620733
"SE",2.20364934444952,258.38425609352,215,0.00516757142436924
"SE*",0.387508957920953,561.412388886369,452,0.000643624423930352
"SI",2.20364934444952,2179.38425609352,2136,0.000596949971243024
"SK",1.20364934444952,314.38425609352,270,0.00259494668945136
"SM",0.203649344449518,68.3842560935201,23,0.00418165187416204
"TH",0.203649344449518,62.3842560935201,17,0.0046484364361796
"TN",0.203649344449518,178.38425609352,133,0.00154447577275479
"US",1.20364934444952,595.38425609352,551,0.0013571090785649
"UY",0.203649344449518,48.3842560935201,3,0.00608632225285963
"VA",0.203649344449518,60.3842560935201,15,0.00479755090224421
"NL",0.203649344449518,45.3842560935201,0,0.00281108033973129
